Código;;;Nome;;;Fornecedor;;;;Localidade;Conta;;Nº Documento;;Dependência;;;;Dt. Aquisição;;Vl. Aquisição;Vl. Deprec.;;;;;Vl. Atual;;;;Status;
09-0038 / 000052;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;REFEITÓRIO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000053;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;REFEITÓRIO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000054;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000055;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCOS DE MADEIRA 2,50 M;;;NC;;;;BR 09-0038;1101;;0;;SALAO DE CULTO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000056;;;7 - MESA MESA 0,40 X 0,80 M;;;NC;;;;BR 09-0038;1101;;0;;SANITARIO MASCULINO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000060;;;6 - REFRIGERADOR / FREEZER / FRIGOBAR REFRIGERADOR BRASTEMP/ GELADEIRA;;;NC;;;;BR 09-0038;1101;;0;;COZINHA;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000062;;;26 - FORNO / FOGÃO / MICROONDAS FOGAO SMALTEC 5 BOCAS  COM UM BUJAO;;;NC;;;;BR 09-0038;1101;;0;;COZINHA;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000063;;;26 - FORNO / FOGÃO / MICROONDAS FOGAO INDUSTRIAL 4 BOCAS;;;NC;;;;BR 09-0038;1101;;0;;COZINHA;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000064;;;8 - ARMÁRIO ARMARIO 2,10 X 0,40 M;;;NC;;;;BR 09-0038;1101;;0;;COZINHA;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000065;;;51 - EQUIPAMENTO MÉDICO CADEIRA DE RODAS;;;NC;;;;BR 09-0038;1101;;0;;ALMOXARIFADO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000066;;;4 - CADEIRA CADEIRA DE ENCOSTO RECLINADO (CORDINHA);;;NC;;;;BR 09-0038;1101;;0;;ALMOXARIFADO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09-0038 / 000067;;;4 - CADEIRA CADEIRA DE ENCOSTO RECLINADO (CORDINHA);;;NC;;;;BR 09-0038;1101;;0;;ALMOXARIFADO;;;;31/12/2006;;1,00;1,00;;;;;0,00;;;;Ativo;
